hb, dsr, seed, mw, mh, w, h, wl, t
300, 0.1, 57, 548, 548, 548, 548, 536439, 328.41
100, 0.15, 58, 454, 454, 452, 454, 206260, 31.85
100, 0.1, 58, 444, 444, 444, 443, 213467, 32.62
200, 0.15, 58, 449, 449, 448, 448, 374983, 144.71
200, 0.1, 58, 439, 439, 439, 439, 384650, 155.18
300, 0.15, 58, 560, 560, 559, 557, 513598, 333.81
300, 0.1, 58, 548, 548, 548, 548, 540855, 330.24
100, 0.15, 59, 454, 454, 454, 452, 206881, 33.07
100, 0.1, 59, 444, 444, 444, 444, 214449, 31
200, 0.15, 59, 449, 449, 449, 447, 378591, 141.39
200, 0.1, 59, 439, 439, 438, 439, 385631, 148.15
300, 0.15, 59, 560, 560, 560, 560, 510032, 315.6
300, 0.1, 59, 548, 548, 548, 548, 532129, 330.95
100, 0.15, 60, 454, 454, 454, 450, 205842, 32.98
100, 0.1, 60, 444, 444, 444, 444, 214328, 31.61
200, 0.15, 60, 449, 449, 449, 447, 376330, 142.66
200, 0.1, 60, 439, 439, 439, 439, 390153, 133.88
300, 0.15, 60, 560, 560, 560, 557, 511829, 326.34
300, 0.1, 60, 548, 548, 548, 548, 542747, 328.95
100, 0.15, 61, 454, 454, 454, 454, 206428, 29.93
100, 0.1, 61, 444, 444, 444, 444, 214002, 32.48
200, 0.15, 61, 449, 449, 449, 449, 379269, 136.49
200, 0.1, 61, 439, 439, 439, 439, 390249, 134.14
300, 0.15, 61, 560, 560, 559, 560, 509001, 336.48
300, 0.1, 61, 548, 548, 548, 548, 544675, 323.3
100, 0.15, 62, 454, 454, 454, 453, 210563, 31.38
100, 0.1, 62, 444, 444, 442, 444, 214662, 30.92
200, 0.15, 62, 449, 449, 449, 448, 373256, 139.93
200, 0.1, 62, 439, 439, 439, 439, 390487, 136.33
300, 0.15, 62, 560, 560, 560, 560, 504896, 329.51
300, 0.1, 62, 548, 548, 548, 548, 540233, 327.72
100, 0.15, 63, 454, 454, 452, 453, 205127, 32.3
100, 0.1, 63, 444, 444, 444, 444, 210605, 30.98
200, 0.15, 63, 449, 449, 447, 449, 380618, 137.17
200, 0.1, 63, 439, 439, 439, 439, 387376, 140.62
300, 0.15, 63, 560, 560, 560, 560, 509320, 337.97
300, 0.1, 63, 548, 548, 548, 548, 547823, 323.98
100, 0.15, 64, 454, 454, 453, 454, 210233, 33.14
100, 0.1, 64, 444, 444, 444, 444, 216081, 30.88
200, 0.15, 64, 449, 449, 449, 448, 385848, 137.18
200, 0.1, 64, 439, 439, 439, 439, 391129, 140.44
300, 0.15, 64, 560, 560, 560, 560, 509684, 339.86
300, 0.1, 64, 548, 548, 548, 548, 541286, 327.86
100, 0.15, 65, 454, 454, 452, 454, 206278, 31.13
100, 0.1, 65, 444, 444, 444, 444, 212280, 31.76
200, 0.15, 65, 449, 449, 449, 446, 378122, 143.49
200, 0.1, 65, 439, 439, 439, 439, 388685, 142.06
300, 0.15, 65, 560, 560, 560, 558, 507173, 331.15
300, 0.1, 65, 548, 548, 548, 548, 545560, 322.83
100, 0.15, 66, 454, 454, 454, 454, 205360, 31.6
100, 0.1, 66, 444, 444, 442, 444, 210443, 30.2
